prompt_type=standard, top_p=0.6, top_k=10, temperature=0.6 : Modules Disarmed=0
prompt_type=standard, top_p=0.6, top_k=10, temperature=0.9 : Modules Disarmed=0, steps = [1, 0, 0, 0, 0]
prompt_type=standard, top_p=0.6, top_k=10, temperature=0.1 : Modules Disarmed=2, steps = [1, 1, 1, 0, 0]
prompt_type=standard, top_p=0.6, top_k=50, temperature=0.6 : Modules Disarmed=2, steps = [1, 1, 1, 0, 0]
prompt_type=standard, top_p=0.6, top_k=10, temperature=0.1 : Modules Disarmed=0, steps = [1, 0, 0, 0, 0]
prompt_type=standard, top_p=0.6, top_k=10, temperature=0.6 : Modules Disarmed=0, steps = [1, 0, 0, 0, 0]
prompt_type=standard, top_p=0.6, top_k=10, temperature=0.9 : Modules Disarmed=0, steps = [1, 0, 0, 0, 0]
prompt_type=standard, top_p=0.6, top_k=50, temperature=0.1 : Modules Disarmed=0, steps = [1, 0, 0, 0, 0]
prompt_type=standard, top_p=0.6, top_k=50, temperature=0.6 : Modules Disarmed=1, steps = [1, 1, 0, 0, 0]
prompt_type=standard, top_p=0.6, top_k=50, temperature=0.9 : Modules Disarmed=1, steps = [1, 1, 0, 0, 0]
prompt_type=standard, top_p=0.9, top_k=10, temperature=0.1 : Modules Disarmed=0, steps = [10, 0, 0, 0, 0]
prompt_type=standard, top_p=0.9, top_k=10, temperature=0.6 : Modules Disarmed=1, steps = [1, 1, 0, 0, 0]
prompt_type=standard, top_p=0.9, top_k=10, temperature=0.9 : Modules Disarmed=1, steps = [3, 1, 0, 0, 0]
prompt_type=standard, top_p=0.9, top_k=50, temperature=0.1 : Modules Disarmed=0, steps = [1, 0, 0, 0, 0]
prompt_type=standard, top_p=0.9, top_k=50, temperature=0.6 : Modules Disarmed=0, steps = [1, 0, 0, 0, 0]
prompt_type=standard, top_p=0.9, top_k=50, temperature=0.9 : Modules Disarmed=0, steps = [1, 0, 0, 0, 0]
prompt_type=standard, top_p=0.6, top_k=10, temperature=0.1, run=1 : Modules Disarmed=1, steps = [1, 1, 0, 0, 0]
