prompt_type,top_p,top_k,temperature,run_no,steps,modules_disarmed
standard,0.9,150,0.2,1,"[1, 0, 0, 0, 0]",0
standard,0.9,150,0.2,2,"[1, 0, 0, 0, 0]",0
standard,0.9,150,0.2,3,"[1, 1, 0, 0, 0]",1
standard,0.9,150,0.6,1,"[1, 1, 1, 1, 0]",3
standard,0.9,150,0.6,2,"[1, 1, 0, 0, 0]",1
standard,0.9,150,0.6,3,"[10, 0, 0, 0, 0]",0
standard,0.9,150,0.9,1,"[1, 0, 0, 0, 0]",0
standard,0.9,150,0.9,2,"[1, 1, 0, 0, 0]",1
standard,0.9,150,0.9,3,"[1, 0, 0, 0, 0]",0
standard,0.9,50,0.2,1,"[1, 0, 0, 0, 0]",0
standard,0.9,50,0.2,2,"[1, 0, 0, 0, 0]",0
standard,0.9,50,0.2,3,"[1, 1, 1, 0, 0]",2
standard,0.9,50,0.6,1,"[1, 1, 0, 0, 0]",1
standard,0.9,50,0.6,2,"[1, 0, 0, 0, 0]",0
standard,0.9,50,0.6,3,"[1, 0, 0, 0, 0]",0
standard,0.9,50,0.9,1,"[1, 0, 0, 0, 0]",0
standard,0.9,50,0.9,2,"[1, 0, 0, 0, 0]",0
standard,0.9,50,0.9,3,"[1, 1, 1, 0, 0]",2
standard,0.6,150,0.2,1,"[1, 0, 0, 0, 0]",0
standard,0.6,150,0.2,2,"[1, 1, 0, 0, 0]",1
standard,0.6,150,0.2,3,"[1, 0, 0, 0, 0]",0
standard,0.6,150,0.6,1,"[1, 1, 0, 0, 0]",1
standard,0.6,150,0.6,2,"[1, 0, 0, 0, 0]",0
standard,0.6,150,0.6,3,"[1, 0, 0, 0, 0]",0
standard,0.6,150,0.9,1,"[1, 0, 0, 0, 0]",0
standard,0.6,150,0.9,2,"[1, 1, 0, 0, 0]",1
standard,0.6,150,0.9,3,"[10, 0, 0, 0, 0]",0
standard,0.6,50,0.2,1,"[1, 0, 0, 0, 0]",0
standard,0.6,50,0.2,2,"[1, 0, 0, 0, 0]",0
standard,0.6,50,0.2,3,"[1, 0, 0, 0, 0]",0
standard,0.6,50,0.6,1,"[1, 0, 0, 0, 0]",0
standard,0.6,50,0.6,2,"[1, 0, 0, 0, 0]",0
standard,0.6,50,0.6,3,"[1, 0, 0, 0, 0]",0
standard,0.6,50,0.9,1,"[1, 0, 0, 0, 0]",0
standard,0.6,50,0.9,2,"[1, 0, 0, 0, 0]",0
standard,0.6,50,0.9,3,"[1, 1, 1, 0, 0]",2
